movie_id,imdb_id,title,country,director,genre,festival
1219,tt1754708,the sea,Ireland,Stephen Brown,other fiction,tiff
122,tt2861532,a wolf at the door,Brazil,Fernando Coimbra,other fiction,tiff
1220,tt2151756,the search for inspiration gone,United Kingdom,Ashley Briggs,experimental fiction,clermontferrand
1221,tt2011271,the secret disco revolution,Canada,Jamie Kastner,other documentary,frameline
1222,tt3070030,the secret life of uri geller psychic spy,United Kingdom,Vikram Jayanti,other documentary,idfa
1223,tt2304426,the selfish giant,United Kingdom,Clio Barnard,other fiction,tiff
1224,tt2333238,the shine of day,Austria,Tizza Covi,other documentary,berlinale
1225,tt1895441,the shower,Chile,Maria Jose San Martin,other fiction,berlinale
1226,tt3408668,the silence of the flies,Venezuela,Eliezer Arias,other documentary,idfa
1227,tt2714884,the silent passenger,Japan,Hirofumi Nakamoto,other fiction,berlinale
1228,tt0041886,the small back room,United Kingdom,Michael Powell,other fiction,berlinale
123,tt2401813,a world for raul,Mexico,Mauro Mueller,other fiction,frameline
1230,tt2387601,the special need,Germany,Carlo Zoratti,other documentary,idfa
1231,tt2332801,the spirit of 45,United Kingdom,Ken Loach,other documentary,berlinale
1232,tt2486682,the square,Egypt,Jehane Noujaim,other documentary,tiff
1233,tt2573858,the stag,Ireland,John Butler,other fiction,tiff
1234,tt2299206,the station,Austria,Marvin Kren,other fiction,tiff
1235,tt2126403,the stone roses made of stone,United Kingdom,Shane Meadows,other documentary,idfa
1236,tt2733258,the strange colour of your bodys tears,Belgium,Helene Cattet,other fiction,tiff
1237,tt1865534,the streets of the invisibles,Austria,Rauscher Remo,animation fiction,clermontferrand
1238,tt0003419,the student of prague,Germany,Hanns Heinz Ewers,other fiction,berlinale
1239,tt2884186,the summer of flying fish,Chile,Marcela Said,other fiction,tiff
124,tt2233762,a world not ours,United Kingdom,Fleifel,other documentary,tiff
1240,tt1961265,the summer side,Spain,Antonia San Juan,other fiction,frameline
1241,tt2372301,the swimming pool,Cuba,Carlos Machado Quintela,other fiction,berlinale
1243,tt2417562,the town of whales,Japan,Keiko Tsuruoka,other fiction,berlinale
1244,tt2489734,the trial of muhammed ali,United States,Bill Siegel,other documentary,idfa
1245,tt2640014,the trouble with aid,United Kingdom,Ricardo Pollack,other documentary,idfa
1246,tt1675189,the tunnel,United Kingdom,Jody Vandenburg,other documentary,idfa
1247,tt0058450,the umbrellas of cherbourg,France,Jacques Demy,other fiction,cannes
1248,tt4919014,the undertaker,Serbia,Dragan Nikolic,other documentary,idfa
1249,tt2390962,the unknown known,United States,Errol Morris,other documentary,tiff
125,tt0088658,ak,France,Chris Marker,other documentary,idfa
1250,tt3663134,the visit,Poland,Matej Bobrik,other documentary,idfa
1251,tt1998355,the voorman problem,United Kingdom,Mark Gill,other fiction,clermontferrand
1252,tt2715004,the waiting,Italy,Mario Rizzi,other documentary,berlinale
1253,tt2390250,the water seller,Israel,Mohammad Fuad,other documentary,clermontferrand
1254,tt2395455,the weight of elephants,New Zealand,Daniel Joseph Borgman,other fiction,berlinale
1255,tt3022650,the wild years,Spain,Ventura Durall,other documentary,idfa
1256,tt2013293,the wind rises,Japan,Hayao Miyazaki,other fiction,tiff
1257,tt2882590,the wonders,Israel,Avi Nesher,other fiction,tiff
1258,tt3073326,the world of goopi and bagha,India,Shilpa Ranade,animation fiction,tiff
126,tt2718284,about ndugu,Spain,David Muoz,other fiction,berlinale
1260,tt2616018,the yearning room,Sweden,Minka Jakersson,other fiction,berlinale
1261,tt1441083,the zigzag kid,Netherlands,Vincent Bal,other fiction,berlinale
1262,tt0409379,therese,United States,Charlie Stratton,other fiction,tiff
1263,tt2728286,this is sanlitun,China,Robert I Douglas,other fiction,tiff
1264,tt0069373,this tiny world,Netherlands,Charles Huguenot Van Der Linden,other documentary,idfa
1265,tt2762122,those happy years,Italy,Daniele Luchetti,other fiction,tiff
1266,tt2905772,thou gildst the even,Turkey,Onur Onlu,other fiction,tiff
1267,tt3778208,thread,India,Lilium Leonard,other fiction,clermontferrand
1268,tt3101742,three interpretation exercises,Romania,Cristi Puiu,other fiction,tiff
1269,tt2205002,three kids,Belgium,Jonas Dadesky,other fiction,berlinale
127,tt2418372,abuse of weakness,France,Catherine Breillat,other fiction,tiff
1270,tt3123188,three landscapes,United States,Peter Hutton,experimental fiction,tiff
1271,tt4835374,three of us,India,Umesh Kulkarni,other documentary,clermontferrand
1272,tt3566452,through the fire,Netherlands,Miguel Narings,other documentary,idfa
1275,tt2736926,tick tock for ding dongs,United States,Jed Bell,other fiction,frameline
1277,tt3089388,tims vermeer,United States,Teller,other documentary,tiff
1279,tt0035446,to be or not to be,United States,Ernst Lubitsch,other fiction,berlinale
128,tt2358875,achele,United Kingdom,Clara Kraft Isono,other fiction,clermontferrand
1280,tt2417568,together,Taiwan,Hsu Chaojen,other fiction,berlinale
1281,tt1796652,tokyo family,Japan,Yoji Yamada,other fiction,berlinale
1282,tt0046438,tokyo story,Japan,Yasujiro Ozu,other fiction,berlinale
1283,tt2427892,tom at the farm,Canada,Xavier Dolan,other fiction,tiff
1284,tt2820082,tomorrow all the things,Argentina,Sebastin Schjaer,other fiction,cannes
1285,tt3326510,tonight well become women,Netherlands,Josefien Hendriks,other documentary,idfa
1286,tt2103085,top of the lake,Australia,Jane Campion,other fiction,berlinale
1287,tt3440920,torre david the worlds tallest squat,Venezuela,Markus Kneer,other documentary,idfa
1288,tt0052311,touch of evil,United States,Orson Welles,other fiction,berlinale
1289,tt2368920,touch of the light,Taiwan,Chang Jungchi,other fiction,berlinale
129,tt2171382,address is approximate,United Kingdom,Tom Jenkins,animation fiction,clermontferrand
1290,tt2555386,tough bond,United States,Austin Peck,other documentary,berlinale
1291,tt0070820,touki bouki journey of the hyena,Senegal,Djibril Diop Mambety,other documentary,idfa
1292,tt2608732,tpb afk the pirate bay away from keyboard,Sweden,Simon Klose,other documentary,berlinale
1293,tt2167266,tracks,United Kingdom,John Curran,other fiction,tiff
1294,tt2758704,transpass,United States,Wren Warner,other documentary,frameline
1295,tt3138596,trap street,China,Vivian Qu,other fiction,tiff
1296,tt0031800,traps,France,Robert Siodmak,other fiction,berlinale
1298,tt8074934,tree boy,Chile,Waldo Salgado,other fiction,berlinale
1299,tt3106926,triptych,Canada,Robert Lepage,other fiction,tiff
13,tt1747958,blood ties,France,Guillaume Canet,other fiction,cannes
130,tt2309961,afflicted,Canada,Clif Prowse,other fiction,tiff
1301,tt3040366,truck driver,Cuba,Sebastin Mil,other fiction,clermontferrand
1302,tt0395796,trudell,United States,Heather Rae,other documentary,berlinale
1303,tt0389467,turangawaewae a place to stand,New Zealand,Peter Burger,other fiction,berlinale
1304,tt2219894,turning,United States,Charles Atlas,other documentary,frameline
1305,tt2396566,twenty feet from stardom,United States,Morgan Neville,other documentary,idfa
1306,tt3529894,twin sisters,Norway,Mona Friis Bertheussen,other documentary,idfa
1307,tt3300956,two at the border,Germany,Tuna Kaptan,other documentary,idfa
1308,tt0390579,two cars one night,New Zealand,Taika Waititi,other fiction,berlinale
1309,tt2570292,two weddings and a funeral,South Korea,Kim Jho Gwangsoo,other fiction,frameline
131,tt2668758,after hours,United States,Alicia Goff,other fiction,frameline
1311,tt4741226,tyres,Myanmar (Burma),Kyaw Myo Lwin,other documentary,idfa
1312,tt3136842,ukraine is not a brothel,Australia,Kitty Green,other documentary,idfa
1313,tt3003668,unbeatable,China,Dante Lam,other fiction,tiff
1314,tt2561416,uncle and son,Vietnam,Dinh Anh Nguyen,other fiction,frameline
1315,tt1441395,under the skin,United Kingdom,Jonathan Glazer,other fiction,tiff
1316,tt3035858,under the starry sky,France,Dyana Gaye,other fiction,tiff
1317,tt2716708,undress me,Sweden,Victor Lindgren,other fiction,berlinale
1318,tt3019714,une jeune fille a journey,Canada,Catherine Martin,other fiction,tiff
1319,tt1699758,unfair world,Greece,Filippos Tsitos,other fiction,tiff
132,tt2577972,after the class,Iran,Fereshteh Parnian,other fiction,clermontferrand
1320,tt2347134,unforgiven,Japan,Lee Sangii,other fiction,tiff
1323,tt2718196,untitled,Sweden,Leontine Arvidsson,other fiction,berlinale
1324,tt2271287,upsidedown,Germany,Bernd Sahling,other fiction,berlinale
1325,tt2084989,upstream color,United States,Shane Carruth,other fiction,berlinale
1326,tt2799764,uzushio seto current,Japan,Naoto Kawamoto,other fiction,berlinale
1327,tt2461190,valencia,United States,Peter Anthony,other fiction,frameline
1328,tt2577990,valentine road,United States,Marta Cunningham,other documentary,frameline
133,tt2894672,after the winter,France,Zhi Wei Jow,other fiction,cannes
1330,tt0194497,variations on a cellphane wrapper,Canada,David Rimmer,other fiction,tiff
1331,tt2862382,velocity,United Kingdom,Karolina Glusiec,animation documentary,clermontferrand
1332,tt2406252,venus in fur,France,Roman Polanski,other fiction,cannes
1333,tt0052357,vertigo,United States,Alfred Hitchcock,other fiction,cannes
1334,tt3392926,via dolorosa,Netherlands,Menno Otten,other documentary,idfa
1335,tt2385882,vicflo saw a bear,Canada,Denis Ct,other fiction,berlinale
1336,tt2729792,view from the acropolis,Netherlands,Lonnie Van Brummelen,other fiction,berlinale
1339,tt2379418,viola,Argentina,Matas Pieiro,other fiction,berlinale
134,tt2388635,afterglow,India,Kaushal Oza,other fiction,clermontferrand
1340,tt2976920,violette,France,Martin Provost,other fiction,tiff
1341,tt0070884,visions of eight,United States,John Schlesinger,other documentary,cannes
1342,tt2936174,visitors,United States,Godfrey Reggio,other fiction,tiff
1343,tt2145847,viva cuba libre rap is war,Cuba,Jesse Acevedo,other documentary,idfa
1344,tt2123349,voice over,Spain,Martin Rosete,other fiction,clermontferrand
1345,tt3425182,voices of el alto,Finland,Benjamin Oroza,other documentary,idfa
1346,tt2894668,waiting for the thaw,Belgium,Sarah Hirtt,other fiction,cannes
1347,tt2113820,walesa man of hope,Poland,Andrzej Wajda,other fiction,tiff
135,tt3281074,ai weiwei the fake case,Denmark,Andreas Johnsen,other documentary,idfa
1350,tt1808659,wasted youth,Greece,Argyris Papadimitropoulos,other fiction,tiff
1351,tt2581388,wasteland so that no one becomes aware of it,Germany,Anne Kodura,other documentary,berlinale
1352,tt3106868,watermark,Canada,Jennifer Baichwal,other documentary,tiff
1353,tt2741220,we are animals,United States,Dominic Haxton,other fiction,frameline
1354,tt2364975,we are the best,Sweden,Lukas Moodysson,other fiction,tiff
1355,tt2873214,we gotta get out of this place,United States,Simon Hawkins,other fiction,tiff
1356,tt3006560,we wanted more,Canada,Stephen Dunn,other fiction,tiff
1357,tt2273772,we will never be alone again,France,Yann Gonzalez,other fiction,clermontferrand
1358,tt3504226,weekend of a champion,France,Frank Simon,other documentary,cannes
1359,tt2406610,welcome and our condolences,Israel,Leon Prudovsky,other fiction,clermontferrand
136,tt2310800,aim high in creation,Australia,Anna Broinowski,other documentary,idfa
1360,tt2625522,welcome to china,France,Olivier Ayachevidal,other fiction,clermontferrand
1361,tt2865272,whale valley,Denmark,Gumundur Arnar Gumundsson,other fiction,cannes
1362,tt2716200,whaled women,Sweden,Ewa Einhor,other fiction,berlinale
1363,tt2699356,what happened to this city,India,Deepa Dhanraj,other documentary,berlinale
1364,tt3016642,what is cinema,United States,Chuck Workman,other documentary,tiff
